"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"SLOVENIJA"	2123949
"001 AJDOVŠÈINA"	19891
"001001 Ajdovšèina"	7072
"001002 Batuje"	402
"001003 Bela"	42
"001004 Brje"	420
"001005 Budanje"	867
"001006 Cesta"	546
"001007 Col"	519
"001008 Èrnièe"	444
"001009 Dobravlje"	435
"001010 Dolenje"	102
"001011 Dolga Poljana"	402
"001012 Gaberje"	183
"001013 Gojaèe"	197
"001014 Gozd"	148
"001015 Grivèe"	90
"001016 Kamnje"	230
"001017 Kovk"	125
"001018 Kožmani"	107
"001019 Križna Gora"	4
"001020 Lokavec"	1179
"001021 Male Žablje"	325
"001022 Malo Polje"	71
"001023 Malovše"	125
"001024 Otlica"	290
"001025 Plaèe"	280
"001026 Planina"	507
"001027 Podkraj"	421
"001028 Potoèe"	227
"001029 Predmeja"	358
"001030 Ravne"	144
"001031 Selo"	480
"001032 Skrilje"	318
"001033 Stomaž"	314
"001034 Šmarje"	192
"001035 Tevèe"	105
"001036 Ustje"	342
"001037 Velike Žablje"	343
"001038 Vipavski Križ"	153
"001039 Višnje"	202
"001040 Vodice"	64
"001041 Vrtovèe"	115
"001042 Vrtovin"	453
"001043 Zavino"	76
"001044 Žagoliè"	153
"001045 Žapuže"	319
"002 BELTINCI"	8071
"002001 Beltinci"	2495
"002002 Bratonci"	655
"002003 Dokležovje"	857
"002004 Ganèani"	1008
"002005 Ižakovci"	737
"002006 Lipa"	574
"002007 Lipovci"	1026
"002008 Melinci"	719
"003 BLED"	8157
"003001 Bled"	5202
"003002 Bodešèe"	156
"003003 Bohinjska Bela"	565
"003005 Koritno"	240
"003007 Kupljenik"	51
"003009 Obrne"	58
"003014 Ribno"	640
"003015 Selo pri Bledu"	211
"003016 Slamniki"	18
"003020 Zasip"	1016
"004 BOHINJ"	5275
"004001 Bitnje"	71
"004002 Bohinjska Bistrica"	1757
"004003 Bohinjska Èešnjica"	357
"004004 Brod"	85
"004005 Goreljek"	8
"004006 Gorjuše"	152
"004007 Jereka"	196
"004008 Kamnje"	209
"004009 Koprivnik v Bohinju"	249
"004010 Laški Rovt"	39
"004011 Lepence"	34
"004012 Nemški Rovt"	122
"004013 Nomenj"	146
"004014 Podjelje"	81
"004015 Polje"	178
"004016 Ravne v Bohinju"	40
"004017 Ribèev Laz"	219
"004018 Savica"	56
"004019 Srednja vas v Bohinju"	501
"004020 Stara Fužina"	573
"004021 Studor v Bohinju"	111
"004022 Ukanc"	58
"004023 Žlan"	21
"004024 Log v Bohinju"	12
"005 BOROVNICA"	4726
"005001 Borovnica"	2737
"005002 Breg pri Borovnici"	376
"005003 Brezovica pri Borovnici"	236
"005004 Dol pri Borovnici"	545
"005005 Dražica"	102
"005006 Lašèe"	1
"005007 Laze pri Borovnici"	285
"005008 Niževec"	38
"005009 Ohonica"	91
"005010 Pako"	178
"005011 Pristava"	14
"005012 Zaboèevo"	123
"006 BOVEC"	3054
"006001 Bavšica"	14
"006002 Bovec"	1554
"006003 Èezsoèa"	315
"006004 Kal - Koritnica"	139
"006005 Lepena"	44
"006006 Log Èezsoški"	57
"006007 Log pod Mangartom"	130
"006008 Plužna"	50
"006009 Soèa"	144
"006010 Srpenica"	155
"006011 Strmec na Predelu"	12
"006012 Trenta"	130
"006013 Žaga"	310
"007 BRDA"	5573
"007001 Barbana"	57
"007002 Belo"	11
"007003 Biljana"	144
"007004 Brdice pri Kožbani"	26
"007005 Brdice pri Neblem"	59
"007006 Breg pri Golem Brdu"	30
"007007 Brestje"	39
"007008 Brezovk"	16
"007009 Ceglo"	109
"007010 Dobrovo"	331
"007011 Dolnje Cerovo"	140
"007012 Drnovk"	131
"007013 Fojana"	138
"007014 Golo Brdo"	25
"007015 Gonjaèe"	143
"007016 Gornje Cerovo"	326
"007017 Gradno"	36
"007018 Hlevnik"	29
"007019 Hruševlje"	115
"007020 Hum"	317
"007021 Imenje"	131
"007022 Kojsko"	248
"007023 Kozana"	360
"007024 Kozarno"	49
"007025 Kožbana"	31
"007026 Krasno"	102
"007027 Medana"	223
"007028 Neblo"	213
"007029 Nozno"	30
"007030 Plešivo"	212
"007031 Podsabotin"	311
"007032 Pristavo"	11
"007033 Senik"	31
"007034 Slapnik"	0
"007035 Slavèe"	29
"007036 Snežatno"	95
"007037 Snežeèe"	51
"007038 Šlovrenc"	103
"007039 Šmartno"	189
"007040 Vedrijan"	165
"007041 Vipolže"	414
"007042 Višnjevik"	140
"007043 Vrhovlje pri Kojskem"	116
"007044 Vrhovlje pri Kožbani"	19
"007045 Zali Breg"	78
"008 BREZOVICA"	13004
"008001 Brezovica pri Ljubljani"	3259
"008002 Dolenja Brezovica"	48
"008003 Gorenja Brezovica"	54
"008004 Gorièica pod Krimom"	170
"008005 Jezero"	848
"008006 Kamnik pod Krimom"	1021
"008007 Notranje Gorice"	1996
"008008 Planinca"	3
"008009 Plešivica"	188
"008010 Podpeè"	588
"008011 Podplešivica"	305
"008012 Preserje"	390
"008013 Prevalje pod Krimom"	198
"008014 Rakitna"	780
"008015 Vnanje Gorice"	2686
"008016 Žabnica"	470
"009 BREŽICE"	24450
"009001 Arnovo selo"	286
"009002 Artièe"	325
"009003 Bizeljska vas"	43
"009004 Bizeljsko"	678
"009005 Blatno"	133
"009006 Bojsno"	214
"009007 Boršt"	144
"009008 Braèna vas"	46
"009009 Brezje pri Bojsnem"	68
"009010 Brezje pri Veliki Dolini"	87
"009011 Brezovica na Bizeljskem"	107
"009012 Brežice"	6961
"009013 Brvi"	50
"009014 Bukošek"	306
"009015 Bukovje"	66
"009016 Bušeèa vas"	147
"009017 Cerina"	162
"009018 Cerklje ob Krki"	251
"009019 Cirnik"	119
"009020 Cundrovec"	128
"009021 Curnovec"	152
"009022 Èatež ob Savi"	392
"009023 Èedem"	10
"009024 Èrešnjice pri Cerkljah"	230
"009025 Deèno selo"	307
"009026 Dednja vas"	169
"009027 Dobeno"	65
"009028 Dobova"	703
"009029 Dolenja Pirošica"	86
"009030 Dolenja vas pri Artièah"	99
"009031 Dolenje Skopice"	206
"009032 Dramlja"	58
"009033 Drenovec pri Bukovju"	128
"009034 Dvorce"	125
"009035 Gabrje pri Dobovi"	222
"009036 Gaj"	29
"009037 Gazice"	155
"009038 Globoèice"	75
"009039 Globoko"	321
"009040 Glogov Brod"	118
"009041 Gorenja Pirošica"	121
"009042 Gorenje Skopice"	183
"009043 Gornji Lenart"	242
"009044 Gregovce"	50
"009045 Hrastje pri Cerkljah"	127
"009046 Izvir"	15
"009047 Jereslavec"	138
"009048 Jesenice"	215
"009049 Kamence"	13
"009050 Kapele"	210
"009051 Koritno"	97
"009052 Kraška vas"	23
"009053 Križe"	124
"009054 Krška vas"	501
"009055 Laze"	48
"009056 Loèe"	176
"009057 Mala Dolina"	101
"009058 Mali Cirnik"	0
"009059 Mali Obrež"	154
"009060 Mali Vrh"	288
"009061 Mihalovec"	311
"009062 Mostec"	211
"009063 Mrzlava vas"	177
"009064 Nova vas ob Sotli"	64
"009065 Nova vas pri Mokricah"	228
"009066 Obrežje"	358
"009067 Oklukova Gora"	60
"009068 Orešje na Bizeljskem"	194
"009069 Pavlova vas"	216
"009070 Peèice"	89
"009071 Perišèe"	22
"009072 Piršenbreg"	252
"009073 Pišece"	340
"009074 Podgorje pri Pišecah"	189
"009075 Podgraèeno"	32
"009076 Podvinje"	129
"009077 Ponikve"	119
"009078 Poštena vas"	49
"009079 Prilipe"	87
"009080 Raèja vas"	110
"009081 Rajec"	77
"009082 Rakovec"	50
"009083 Ribnica"	122
"009084 Rigonce"	150
"009085 Sela pri Dobovi"	571
"009086 Silovec"	43
"009087 Slogonsko"	182
"009088 Slovenska vas"	196
"009089 Sobenja vas"	127
"009090 Spodnja Pohanca"	119
"009091 Sromlje"	125
"009092 Stankovo"	7
"009093 Stara vas - Bizeljsko"	220
"009094 Stojanski Vrh"	57
"009095 Trebež"	269
"009096 Velika Dolina"	142
"009097 Velike Malence"	333
"009098 Veliki Obrež"	276
"009099 Vinji Vrh"	63
"009100 Vitna vas"	45
"009101 Volèje"	99
"009102 Vrhje"	225
"009103 Vrhovska vas"	73
"009104 Zasap"	41
"009105 Zgornja Pohanca"	97
"009106 Zgornji Obrež"	174
"009107 Žejno"	124
"009108 Župeèa vas"	209
"009109 Župelevec"	200
"010 TIŠINA"	3948
"010001 Borejci"	220
"010004 Gederovci"	185
"010007 Gradišèe"	286
"010009 Krajna"	256
"010011 Murski Èrnci"	459
"010012 Murski Petrovci"	124
"010013 Petanjci"	619
"010014 Rankovci"	266
"010016 Sodišinci"	198
"010017 Tišina"	400
"010019 Tropovci"	463
"010020 Vanèa vas"	472
"011 CELJE"	49289
"011001 Brezova"	255
"011002 Bukovžlak"	391
"011003 Celje"	37727
"011004 Dobrova"	206
"011005 Glinsko"	35
"011006 Gorica pri Šmartnem"	557
"011007 Jezerce pri Šmartnem"	72
"011008 Košnica pri Celju"	546
"011009 Lahovna"	149
"011010 Leskovec"	196
"011011 Lipovec pri Škofji vasi"	38
"011012 Ljubeèna"	1093
"011013 Loèe"	121
"011014 Lokrovec"	323
"011015 Lopata"	653
"011016 Medlog"	361
"011017 Osenca"	91
"011018 Otemna"	116
"011019 Peèovnik"	276
"011020 Pepelno"	101
"011021 Prekorje"	372
"011022 Rožni Vrh"	162
"011023 Runtole"	51
"011024 Rupe"	97
"011025 Slance"	72
"011026 Slatina v Rožni dolini"	267
"011027 Šentjungert"	159
"011028 Škofja vas"	468
"011029 Šmarjeta pri Celju"	216
"011030 Šmartno v Rožni dolini"	256
"011031 Šmiklavž pri Škofji vasi"	215
"011032 Teharje"	326
"011033 Tremerje"	71
"011034 Trnovlje pri Celju"	1308
"011035 Vrhe"	238
"011036 Zaèret"	370
"011037 Zadobrova"	939
"011038 Zvodno"	287
"011039 Žepina"	108
"012 CERKLJE NA GORENJSKEM"	7825
"012001 Adergas"	249
"012002 Ambrož pod Krvavcem"	139
"012003 Apno"	158
"012004 Cerkljanska Dobrava"	102
"012005 Cerklje na Gorenjskem"	1721
"012006 Èešnjevek"	169
"012007 Dvorje"	468
"012008 Glinje"	110
"012009 Grad"	254
"012010 Lahovèe"	465
"012011 Poženik"	222
"012012 Praprotna Polica"	204
"012013 Pšata"	127
"012014 Pšenièna Polica"	115
"012015 Ravne"	27
"012016 Sidraž"	42
"012017 Spodnji Brnik"	483
"012018 Stiška vas"	99
"012019 Sveti Lenart"	42
"012020 Šenturška Gora"	188
"012021 Šmartno"	297
"012022 Štefanja Gora"	115
"012023 Trata pri Velesovem"	136
"012024 Vašca"	85
"012025 Velesovo"	366
"012026 Viševca"	1
"012027 Vopovlje"	132
"012028 Vrhovje"	6
"012029 Zalog pri Cerkljah"	579
"012030 Zgornji Brnik"	724
"013 CERKNICA"	11870
"013001 Beè"	5
"013002 Beèaje"	28
"013003 Begunje pri Cerknici"	761
"013004 Bezuljak"	80
"013005 Bloèice"	110
"013006 Bloška Polica"	87
"013007 Brezje"	30
"013008 Cajnarje"	23
"013009 Cerknica"	4132
"013010 Èohovo"	5
"013011 Dobec"	67
"013012 Dolenja vas"	484
"013013 Dolenje Jezero"	244
"013014 Dolenje Otave"	34
"013015 Gora"	5
"013016 Gorenje Jezero"	136
"013017 Gorenje Otave"	44
"013018 Gorièice"	94
